year,month,region_to,subdivision,category,revenue_first_transactions,revenue_repeat_transactions,Сумма по полю first_traffic,Сумма по полю repeat_traffic,traffic_total,first_transactions,repeat_transactions,transacitons_total,ads_cost,not_ads_cost,bonus_company,promo_cost,mar_cost,is_forecast,Quarter,Halfyear
2026,12,belarus,other,Подарочныесертификаты,19.035389957264954,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,other,Посуда,18.920389957264955,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,other,Посуда,18.920389957264955,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,other,Посуда,18.574711385836384,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,other,Посуда,18.920389957264955,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,other,Съедобныебукеты,98020.48122817463,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,other,Съедобныебукеты,126488.91914556276,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,other,Съедобныебукеты,99214.54644246031,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,other,Съедобныебукеты,142605.26804437232,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,other,Товарыдляпраздника,1433.5687769607844,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,other,Товарыдляпраздника,1412.3508483893559,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,other,Товарыдляпраздника,1409.0151606909428,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,other,Товарыдляпраздника,4205.420707892653,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,other,Украшения,19.035389957264954,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,other,Украшения,19.035389957264954,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,other,Украшения,18.689711385836386,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,other,Украшения,19.035389957264954,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,9,belarus,other,Хендмейдихобби,19.035389957264954,0,0,0,0,0,0,0,0,0,0,0,0,True,Q3,H2
2026,10,belarus,other,Хендмейдихобби,19.035389957264957,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,11,belarus,other,Хендмейдихобби,18.689711385836386,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
2026,12,belarus,other,Хендмейдихобби,19.035389957264954,0,0,0,0,0,0,0,0,0,0,0,0,True,Q4,H2
